image,emotion
Vaclav_Havel_0005.jpg,🙂
Brian_Gregory_0001.jpg,😐
Al_Gore_0004.jpg,😐
Jean_Chretien_0020.jpg,🙂
Ashanti_0004.jpg,🙂
George_W_Bush_0266.jpg,😠
Gerhard_Schroeder_0008.jpg,🙁
Bobby_Kielty_0001.jpg,🙂
Robert_De_Niro_0001.jpg,🙂
Jean_Brumley_0001.jpg,🙂
Robert_Redford_0005.jpg,🙂
George_W_Bush_0161.jpg,😳
George_W_Bush_0441.jpg,😐
Jon_Gruden_0004.jpg,😐
Gerhard_Schroeder_0002.jpg,🙂
Michael_Schumacher_0010.jpg,😐
Alberto_Sordi_0001.jpg,🙂
Mohammed_Baqir_al-Hakim_0002.jpg,🙂
Laila_Ali_0001.jpg,😐
Terrence_Trammell_0001.jpg,🙂
Andy_Roddick_0007.jpg,😐
Ed_Rendell_0001.jpg,🙂
Heizo_Takenaka_0003.jpg,😐
Catherine_Zeta-Jones_0008.jpg,🙂
Pat_Riley_0001.jpg,😠
Matt_Siebrandt_0001.jpg,🙂
Junichiro_Koizumi_0050.jpg,😐
George_W_Bush_0501.jpg,😐
Demetrius_Ferraciu_0002.jpg,🙂
James_Jones_0002.jpg,😐
Bijan_Darvish_0002.jpg,😐
Niall_Connolly_0001.jpg,😐
Khin_Nyunt_0001.jpg,😐
Michael_Clarke_Duncan_0001.jpg,🙂
George_W_Bush_0011.jpg,😐
Tassos_Papadopoulos_0003.jpg,😐
Jayamadhuri_124.jpg,🙁
Gabriel_Farhi_0001.jpg,😐
Dimitar_Berbatov_0001.jpg,😐
George_W_Bush_0379.jpg,😐
Guido_Westerwelle_0002.jpg,😐
Alejandro_Toledo_0007.jpg,🙂
Steve_Mariucci_0003.jpg,🙂
Pieter_Bouw_0001.jpg,😐
Jean_Chretien_0021.jpg,😐
Razali_Ismail_0001.jpg,😐
Jonathan_Schroeder_0001.jpg,😐
Zhang_Ziyi_0004.jpg,🙂
Guillermo_Coria_0012.jpg,😐
Mikhail_Wehbe_0003.jpg,😐
Marc_Grossman_0004.jpg,😐
Maria_Wetterstrand_0001.jpg,🙂
Colin_Powell_0112.jpg,😐
Matt_Damon_0004.jpg,🙂
Fernando_Gonzalez_0002.jpg,😐
Severino_Antinori_0001.jpg,🙂
Jennifer_Capriati_0033.jpg,😠
Robert_Blake_0002.jpg,😐
Anthony_LaPaglia_0002.jpg,🙂
Lleyton_Hewitt_0041.jpg,😳
George_W_Bush_0044.jpg,🙂
Madeleine_Webber_0001.jpg,🙂
George_W_Bush_0350.jpg,😐
Matthew_Perry_0005.jpg,😐
Rulon_Gardner_0001.jpg,😐
Tim_Henman_0004.jpg,🙂
Sami_Al-Arian_0001.jpg,🙂
SharmilaTagore_61.jpg,🙂
Julianne_Moore_0014.jpg,🙂
Uthai_Pimchaichon_0001.jpg,😐
Paul_Burrell_0004.jpg,😐
Brendan_Fraser_0001.jpg,🙂
Takenori_Kanzaki_0001.jpg,😐
Manuel_Jesus_0001.jpg,😠
John_Taylor_0002.jpg,😐
Jorge_Rodolfo_Canicoba_Corral_0002.jpg,😐
Denise_Johnson_0002.jpg,🙂
Howard_Dean_0006.jpg,🙂
HrithikRoshan_125.jpg,😖
Lleyton_Hewitt_0022.jpg,😳
Dennis_Archer_0001.jpg,🙂
Roger_Clemens_0002.jpg,🙂
Junichiro_Koizumi_0007.jpg,😐
Bill_Gates_0005.jpg,🙂
Hugo_Chavez_0034.jpg,😠
Iain_Richmond_0001.jpg,😐
Phil_Gramm_0001.jpg,😐
Igor_Ivanov_0003.jpg,😐
Dustin_Hoffman_0001.jpg,😐
Armando_Calderon_Sol_0001.jpg,😐
Rick_Carlisle_0004.jpg,🙂
George_W_Bush_0110.jpg,😐
James_Kopp_0001.jpg,🙁
Jackie_Chan_0010.jpg,🙂
George_W_Bush_0229.jpg,😐
Stephen_Keener_0001.jpg,😳
Mariana_Pollack_0003.jpg,🙂
Dolma_Tsering_0002.jpg,🙂
Ian_Thorpe_0009.jpg,😳
Byron_Scott_0002.jpg,😐
Kim_Dae-jung_0007.jpg,🙂
Heizo_Takenaka_0007.jpg,😐
Guillermo_Coria_0026.jpg,😐
Barbara_Bodine_0001.jpg,😐
Valery_Giscard_dEstaing_0004.jpg,🙂
Mahmoud_Abbas_0023.jpg,😐
Harvey_Weinstein_0002.jpg,😐
Roh_Moo-hyun_0032.jpg,🙂
Jacques_Rogge_0003.jpg,😐
Lon_Kruger_0001.jpg,😠
Princess_Caroline_0001.jpg,🙂
Zafarullah_Khan_Jamali_0001.jpg,😐
Roger_Suarez_0001.jpg,😐
Pete_Sampras_0013.jpg,😐
Maria_Soledad_Alvear_Valenzuela_0005.jpg,😐
Edward_Lu_0003.jpg,🙂
Paula_Radcliffe_0003.jpg,🙂
Gerhard_Schroeder_0014.jpg,🙂
Kim_Ryong-sung_0005.jpg,🙂
George_W_Bush_0437.jpg,🙂
Juan_Pablo_Montoya_0004.jpg,😐
Vicente_Fox_0003.jpg,😐
Saddam_Hussein_0012.jpg,🙂
Gerard_Tronche_0001.jpg,🙂
Johnny_Carson_0001.jpg,🙂
Princess_Elisabeth_0002.jpg,😐
Andre_Agassi_0013.jpg,🙂
Mark_Wahlberg_0003.jpg,🙂
Ariel_Sharon_0016.jpg,😐
George_W_Bush_0176.jpg,😐
Colin_Powell_0201.jpg,😐
James_Cunningham_0003.jpg,😐
Ed_Smart_0001.jpg,🙂
Art_Howe_0003.jpg,🙂
KatrinaKaif_58.jpg,🙂
Rudi_Voeller_0001.jpg,🙂
Tony_Blair_0140.jpg,🙂
Serena_Williams_0015.jpg,😠
Dileep_23.jpg,🙁
Henry_Hilow_0001.jpg,😐
John_McEnroe_0002.jpg,😐
Boris_Yeltsin_0002.jpg,🙂
Keanu_Reeves_0002.jpg,😐
Alvaro_Uribe_0018.jpg,😐
James_Cameron_0003.jpg,🙂
tongueim (50).jpeg,😜
Marty_Mornhinweg_0002.jpg,😐
Lazaro_Castro_0001.jpg,😐
Hugh_Grant_0007.jpg,🙂
Carolina_Kluft_0003.jpg,😐
David_Beckham_0024.jpg,😐
Tommy_Haas_0001.jpg,😐
James_Kopp_0002.jpg,🙂
Fatma_Kusibeh_0001.jpg,😐
Carmen_Electra_0002.jpg,🙂
Jeb_Bush_0008.jpg,😳
Ariel_Sharon_0001.jpg,🙂
Colin_Powell_0017.jpg,😐
Roy_Jones_Jr_0002.jpg,😐
Jayamadhuri_29.jpg,😖
Colin_Powell_0189.jpg,😐
Rudolph_Giuliani_0022.jpg,😐
Flavia_Delaroli_0002.jpg,🙂
Fabian_Vargas_0001.jpg,😳
Laura_Bush_0022.jpg,🙂
Mark_Philippoussis_0004.jpg,🙂
Hans_Blix_0008.jpg,😐
Arminio_Fraga_0004.jpg,🙂
Boris_Henry_0001.jpg,🙂
Daniela_Cicarelli_0001.jpg,🙂
Jennifer_Murray_0001.jpg,🙂
Prince_Philippe_0001.jpg,🙂
Charles_Taylor_0008.jpg,🙂
Brian_De_Palma_0001.jpg,🙂
Xavier_Malisse_0005.jpg,😐
Pervez_Musharraf_0008.jpg,😐
Blythe_Danner_0002.jpg,🙂
Alvaro_Uribe_0017.jpg,😐
Tom_Harkin_0003.jpg,😐
Jose_Serra_0006.jpg,😐
Martin_Scorsese_0005.jpg,😐
Donald_Rumsfeld_0004.jpg,🙂
John_Snow_0001.jpg,😐
Demetrius_Ferraciu_0001.jpg,🙂
Uma_Thurman_0002.jpg,🙂
Horst_Koehler_0003.jpg,😐
Tony_Clement_0001.jpg,🙂
Bill_Simon_0007.jpg,😐
Leonardo_DiCaprio_0006.jpg,😐
Gustavo_Terrazas_0001.jpg,😐
tongueim (23).jpeg,😜
Ahmed_Lopez_0001.jpg,😐
Colleen_Ryan_0001.jpg,😐
Prince_Charles_0005.jpg,🙂
Avinash_14.jpg,🙁
Benicio_Del_Toro_0001.jpg,🙂
John_Darby_0001.jpg,😐
Raza_Rabbani_0001.jpg,😐
George_W_Bush_0059.jpg,😐
Justin_Leonard_0004.jpg,🙂
David_Spade_0001.jpg,😐
Peter_Struck_0003.jpg,🙂
John_Spencer_0002.jpg,🙂
Sarah_Hughes_0001.jpg,🙂
Al_Cardenas_0001.jpg,😐
Joaquin_Sanchez_0001.jpg,😐
Vojislav_Kostunica_0005.jpg,😐
Paul_Wolfowitz_0008.jpg,😐
Abdullah_Gul_0019.jpg,😐
Daniel_Montenegro_0001.jpg,🙂
Gene_Robinson_0001.jpg,🙂
Julien_Varlet_0001.jpg,😐
David_Przybyszewski_0001.jpg,😐
Bridget_Fonda_0003.jpg,🙂
KatrinaKaif_31.jpg,🙂
Kwame_Kilpatrick_0001.jpg,😐
Phillip_Fulmer_0001.jpg,😐
Oswaldo_Paya_0004.jpg,😐
Yukio_Hatoyama_0001.jpg,😐
Nicanor_Duarte_Frutos_0009.jpg,🙂
Florencia_Kirchner_0001.jpg,😐
Gerhard_Schroeder_0089.jpg,😐
Richard_Regenhard_0001.jpg,🙂
Meryl_Streep_0011.jpg,🙂
David_Hilt_0001.jpg,😐
Taha_Yassin_Ramadan_0010.jpg,😐
Li_Ruihuan_0001.jpg,🙂
Cate_Blanchett_0002.jpg,😐
Stacy_Dragila_0001.jpg,🙂
Jean_Chretien_0048.jpg,😳
Tiger_Woods_0018.jpg,😐
Gerhard_Schroeder_0015.jpg,🙂
SharmilaTagore_53.jpg,🙂
Stacy_Dragila_0002.jpg,😐
Jean-David_Levitte_0008.jpg,🙂
Gerald_Fitch_0001.jpg,😳
Roberto_Carlos_0001.jpg,🙂
Natalie_Williams_0001.jpg,😳
Armando_Carrillo_0001.jpg,🙁
Colin_Powell_0055.jpg,😠
Richard_Virenque_0005.jpg,🙂
Paula_Dobriansky_0001.jpg,🙂
Griffin_Colvin_0001.jpg,🙂
Sonya_Walger_0001.jpg,🙂
Howard_Dean_0004.jpg,😐
Laura_Pausini_0001.jpg,🙂
Paradorn_Srichaphan_0005.jpg,😠
Takaloo_0001.jpg,😐
Jean-Pierre_Raffarin_0007.jpg,😐
Laurent_Woulzy_0001.jpg,😐
grin (7).jpeg,😬
Britney_Spears_0007.jpg,😐
Jeremy_Shockey_0001.jpg,🙂
Juan_Carlos_Ferrero_0011.jpg,😐
Donald_Fehr_0004.jpg,😐
Gerhard_Schroeder_0017.jpg,🙂
Taha_Yassin_Ramadan_0012.jpg,🙂
Sebastien_Grosjean_0002.jpg,😐
Dileep_18.jpg,😐
